SMT2-LIB program,size(byte),#var,#constraints,ref,Satisfiability,Time(s)
test_v5_r15_vr10_c1_s11127.smt2,495,0,0,sat,,
square.smt2,1187,3,3,unsat,,
e1_1.c.smt2,1364,4,3,sat,,
e1_2.c.smt2,1364,4,3,sat,,
e1.c.smt2,1590,5,4,sat,,
pow5.smt2,1627,2,4,unsat,,
e2a_3.c.smt2,1791,7,6,sat,,
div2.c.3.smt2,1824,5,7,sat,,
e2a_1.c.smt2,1887,8,6,sat,,
div3.c.3.smt2,1914,6,7,sat,,
div.c.3.smt2,1917,6,7,sat,,
mult1.c.3.smt2,1920,6,7,sat,,
e2a_2.c.smt2,1982,9,6,sat,,
mult2.c.3.smt2,2007,7,7,sat,,
sine.1.0.i.smt2,2505,1,3,sat,,
e3_2.c.smt2,2532,7,11,sat,,
e2_3.c.smt2,2543,11,10,sat,,
f23.smt2,2590,2,7,sat,,
e2_1.c.smt2,2591,11,9,sat,,
sine.2.0.i.smt2,2622,1,4,unsat,,
sine.3.0.i.smt2,2622,1,4,unsat,,
sine.4.0.i.smt2,2622,1,4,unsat,,
sine.5.0.i.smt2,2622,1,4,unsat,,
sine.6.0.i.smt2,2622,1,4,unsat,,
sine.7.0.i.smt2,2622,1,4,unsat,,
sine.8.0.i.smt2,2622,1,4,unsat,,
e2_2.c.smt2,2639,12,10,sat,,
e3_1.c.smt2,2695,7,12,sat,,
square.1.0.i.smt2,2822,1,4,unsat,,
square.2.0.i.smt2,2822,1,4,unsat,,
square.3.0.i.smt2,2822,1,4,unsat,,
square.4.0.i.smt2,2822,1,4,unsat,,
square.5.0.i.smt2,2822,1,4,unsat,,
square.6.0.i.smt2,2822,1,4,unsat,,
square.7.0.i.smt2,2822,1,4,unsat,,
square.8.0.i.smt2,2822,1,4,unsat,,
e2.c.smt2,3282,13,12,sat,,
newton.5.1.i.smt2,3464,1,3,sat,,
newton.8.1.i.smt2,3464,1,3,sat,,
newton.4.1.i.smt2,3555,1,3,sat,,
newton.6.1.i.smt2,3555,1,3,sat,,
newton.7.1.i.smt2,3555,1,3,sat,,
newton.1.1.i.smt2,3557,1,3,unsat,,
newton.2.1.i.smt2,3557,1,3,unsat,,
newton.3.1.i.smt2,3559,1,3,unknown,,
e3.c.smt2,4016,11,19,unsat,,
test_v3_r3_vr10_c1_s14052.smt2,4106,3,9,sat,,
test_v3_r3_vr10_c1_s24300.smt2,4106,3,9,sat,,
test_v3_r3_vr10_c1_s29304.smt2,4106,3,9,sat,,
test_v3_r3_vr1_c1_s10392.smt2,4106,3,9,sat,,
test_v3_r3_vr5_c1_s16641.smt2,4106,3,9,sat,,
test_v3_r3_vr5_c1_s16867.smt2,4106,3,9,sat,,
test_v3_r3_vr5_c1_s26769.smt2,4106,3,9,sat,,
test_v3_r3_vr1_c1_s5578.smt2,4108,3,9,unsat,,
test_v3_r3_vr1_c1_s6731.smt2,4108,3,9,unsat,,
add_01_1000_1.smt2,4123,4,16,unsat,,
add_01_1000_2.smt2,4123,4,16,unsat,,
add_01_1000_3.smt2,4123,4,16,unsat,,
add_01_1000_4.smt2,4123,4,16,unsat,,
add_01_100_1.smt2,4123,4,16,unsat,,
add_01_100_2.smt2,4123,4,16,unsat,,
add_01_100_3.smt2,4123,4,16,unsat,,
add_01_100_4.smt2,4123,4,16,unsat,,
add_01_10_1.smt2,4123,4,16,unsat,,
add_01_10_2.smt2,4123,4,16,unsat,,
add_01_10_3.smt2,4123,4,16,unsat,,
add_01_10_4.smt2,4123,4,16,unsat,,
add_01_1_1.smt2,4123,4,16,unsat,,
add_01_1_2.smt2,4123,4,16,unsat,,
add_01_1_3.smt2,4123,4,16,unsat,,
add_01_1_4.smt2,4123,4,16,unsat,,
mul_03_3_1.smt2,4214,4,17,sat,,
mul_03_30_1.smt2,4216,4,17,unsat,,
mul_03_30_4.smt2,4216,4,17,unsat,,
mul_000003_30000_1.smt2,4218,4,17,unknown,,
mul_03_3000_1.smt2,4218,4,17,unknown,,
div2.c.10.smt2,4267,12,21,sat,,
mult1.c.10.smt2,4349,13,21,sat,,
div3.c.10.smt2,4350,13,21,sat,,
div.c.10.smt2,4360,13,21,sat,,
mult2.c.10.smt2,4436,14,21,sat,,
mul_03_30_2.smt2,4464,4,17,unsat,,
mul_03_30_3.smt2,4464,4,17,unsat,,
mul_03_30_5.smt2,4464,4,17,unsat,,
mul_03_30_6.smt2,4464,4,17,unsat,,
mul_03_30_7.smt2,4464,4,17,unsat,,
newton.5.2.i.smt2,5068,1,3,unknown,,
newton.8.2.i.smt2,5068,1,3,unknown,,
sqrt.c.2.smt2,5073,10,13,sat,,
